IDX,name,address,postcode,company,job,phone_number,email,user_name,ip_address,credit_card_number,date,total_int,total_float,total_int1,total_int2,total_int3
0,문서준,경기도 홍천군 잠실47거리 (영희민이읍),94610,(주) 박,패스트푸드원,062-282-****,hyeonju11@ani.com,gimseongho,10.84.210.253,501826326222,2001-04-07,99,7.3888697357106,958436,337,2571
1,고정자,서울특별시 관악구 개포거리,48617,유한회사 전,판사 및 검사,017-782-****,gyeongsu84@nate.com,sanghun66,192.168.188.75,6011506673713343,2008-05-21,2,3.9724401,927058,208,1762
2,최경자,울산광역시 동작구 삼성거리 (명자엄김면),68261,유한회사 최,기타 식품가공관련 기계조작원,041-485-****,misuggim@nate.com,angyeongsug,172.28.87.64,676145361025,1985-04-16,52,4.251181766,613792,611,2350
3,윤정호,부산광역시 종로구 테헤란거리 (성수이동),94613,홍김,안마사,041-438-****,seojiyeon@gmail.com,minseogim,172.27.136.222,3563191904148723,1988-08-01,33,5.91730605,281300,375,7822
4,우성현,강원도 고양시 가락로 (정희최읍),22359,주식회사 곽노박,보험 설계사 및 간접투자증권 판매인,061-163-****,jongsu38@gimgimna.org,ihyeonu,192.168.143.81,30360999972963,2016-10-03,42,5.4909848407223,66043,49,9396
5,이민지,경기도 강릉시 개포길,95184,(주) 김,기타 경호 및 보안 관련 종사원,011-309-****,vi@naver.com,hyeonjunhan,192.168.80.130,4075178234176093,1979-10-12,64,8.1059,524219,556,6498
6,김승민,부산광역시 은평구 가락길 (민지이양마을),47387,김이최,의복/가죽 및 모피 수선원,019-411-****,xgim@jusighoesa.net,wha,10.232.237.183,6503598035035171,2007-09-11,65,7.637988,324859,392,1847
7,백영철,제주특별자치도 안산시 단원구 도산대가 (영호김김동),96754,주식회사 윤권서,상품 대여원,031-398-****,suminbaeg@hanmail.net,seonghoan,192.168.91.168,4102032133175822593,1975-03-29,63,4.7434133,534443,340,9270
8,우진호,울산광역시 성동구 테헤란2길 (현숙서면),45025,박이,기타 사무원,010-1229-****,songminseog@gmail.com,coejeongsug,10.119.37.70,30008268448112,2006-11-18,23,6.48,656818,94,3457
9,최서현,강원도 고양시 강남대가,78118,김김이,영상/녹화 및 편집 기사,054-081-****,jiu24@daum.net,sunjagang,192.168.106.83,180094936233183,2004-02-16,97,6.82844,85460,643,4189
10,이성훈,충청남도 안산시 단원구 잠실440로 (민수이이면),66058,(유) 윤,보건위생 및 환경 검사원,041-320-****,ujin@hanmail.net,junseo32,172.21.128.100,6596135049017370,1980-03-25,66,8.796597655749,428126,128,9515
