이름,주소,신장,체중,휴대폰번호,학력,직업,월소득
이정옥,서울 광진구 중곡2동,151,74.5,1056425572,해외유학,회사원,8019167
김봉순,경기 남양주시 진건읍,178,92.5,1068612468,전문학사,주부,1025000
손화치,제주 제주시 연동,163,82.6,1050182730,석사,주부,79167
정금세,경기 용인시 마북동,152,66.7,1070593403,석사,자영업,1653338
원유열,경기 안산시 사2동,135,61.8,1030028564,전문학사,회사원,1314069
윤인호,경기 시흥시 신천동,168,75.1,1022644277,고졸,자영업,8619783
최영옥,경기 김포시 사우동,121,47.6,1055374004,학사,무직,1081667
양승실,서울 용산구 한강로2가,159,83,1017522265,학사,학생,8021667
최수,충북 청원군 남일면,152,77.5,1089018925,석사,자영업,8025833
배소영,서울 마포구 아현1동,154,63.5,1072577123,석사,무직,5040000
이재구,충남 논산시 강산동,143,54,1022665033,대퇴,주부,1027500
조미영,서울 은평구 신사동,160,86,1088933966,대퇴,자영업,8032500
정미영,대전 동구 가양1동,169,80,1043526047,학사,회사원,33333
오경숙,경기 안양시 범계동,167,61,1086625839,석사,주부,37500
이근수,전북 익산시 동산동,184,79.1,1016051694,석사,주부,1050833
김종원,경기 안산시 고잔동,153,69,1015062492,고졸,회사원,1020833
김억균,부산 강서구 대저2동,170,77.7,1053163553,학사,자영업,1679359
김경미,경기 고양시 탄현동,162,64.3,1051457633,이학박사,강사,3320689
정연수,경남 통영시 정량동,169,75.1,1071053527,대퇴,자영업,1064167
김점임,서울 관악구 신림11동,165,66.1,1047142701,기타,자영업,63333
이경화,강원 강릉시 성내동,177,83.1,1027243319,석사,자영업,1065833
홍기영,서울 은평구 응암1동,153,76,1071586965,전문학사,주부,17500
김병주,경남 마산시 내서읍,137,55.5,1050752710,석사,강사,31667
안복례,경기 성남시 산성동,166,70.1,1055526843,석사,주부,75000
강의홍,제주 제주시 이도동,185,74.6,1054896181,중졸,회사원,1064167
임춘자,경기 고양시 덕이동,150,78.6,1080666012,학사,회사원,75833
박옥부,경북 김천시 어모면,158,73,1011131731,대퇴,주부,8037500
이봉섭,경남 마산시 내서읍,157,79.6,1076852087,대퇴,회사원,1078333
김제용,경기 파주시 조리읍,175,77,1099896148,해외유학,회사원,4032132
문재의,대전 대덕구 송촌동,155,79.1,1064452944,대퇴,자영업,3055000
박준철,경기 화성시 정남면,158,63.1,1098078709,대퇴,회사원,68333
박성국,인천 연수구 송도동,142,69.6,1061964286,고졸,자영업,1056667
김기선,서울 은평구 수색동,177,78.9,1044492869,전문학사,무직,2446788
김선옥,경기 고양시 탄현동,146,63.5,1024312787,기타,무직,8036667
명노옥,경기 안양시 비산1동,139,73,1074211956,학사,자영업,8040000
신연홍,경기 용인시 상현동,160,78.9,1045510397,기타,무직,1909300
김현임,충남 공주시 신관동,146,61.3,1028040626,중졸,무직,8835221
박선자,경북 영천시 야사동,158,79.5,1044389502,기타,주부,8024167
이말남,서울 중랑구 신내2동,162,66.6,1037115650,전문학사,자영업,8055000
김의겸,충북 청원군 옥산면,155,67.5,1037834429,전문학사,자영업,5476346
김옥환,서울 서초구 서초동,139,54.5,1017583091,대퇴,회사원,26667
강덕만,경기 고양시 일산2동,135,57.3,1097078621,고졸,무직,3278263
남필여,경기 고양시 일산1동,166,73,1010824411,대퇴,무직,8016667
송죽분,서울 동작구 사당3동,141,61.5,1049346344,전문학사,학생,8011667
이순애,경기 파주시 금촌2동,186,78.6,1010581808,대퇴,전문직,8056667
구은희,서울 마포구 아현1동,164,75.1,1060631311,학사,계열사직원,3055000
박시현,전남 순천시 연향동,159,70.1,1036042491,석사,자영업,2115675
전명술,경기 고양시 가좌동,182,78,1093070411,대재,전문직,3042500
유신덕,충북 음성군 금왕읍,176,77.5,1011908245,기타,자영업,1045833
박소현,서울 양천구 신월5동,156,58.6,1037462671,전문학사,주부,1065833
박미애,경기 안산시 원곡동,168,79.6,1054676292,전문학사,회사원,53333
김만옥,서울 강서구 방화동,175,70.5,1088103303,고졸,주부,1035833
남병무,서울 마포구 신정동,159,70,1016140678,석사,회사원,3015833
