이름,성별,주소,나이,신장,체중,휴대폰번호,신용대출한도 ,신용잔액비율,신용등급,월소득,교육정도,직업종류
조미선,F,대전 동구 용운동,33,132,64.508333,1063857451,66300000,81.12572652,3,7008333,고졸,자영업
홍길병,M,경북 안동시 용상동,61,160,86.64173,1044110746,327700000,71.87790626,2,6641730,학사,주부
김영심,F,경남 진주시 옥봉동,50,160,87.009167,1052819755,41300000,3.036415518,3,8009167,중졸,무직
이미정,F,서울 강서구 가양3동,70,178,79.51,1076685189,64600000,65.97774732,7,10000,초졸,주부
김경태,M,서울 은평구 역촌1동,40,139,69.510833,1071299880,2300000,0.41804432,10,10833,전문학사,자영업
유영근,M,경기 고양시 고양동,43,144,68.011667,1035298292,13900000,22.8010144,7,1011667,학사,자영업
박을규,M,경기 수원시 고색동,23,132,41.5125,1060668457,37700000,9.703167994,7,12500,석사,회사원
문정은,F,경기 고양시 일산4동,67,175,76.589247,1038629441,3500000,0.14587709,8,2589247,전문학사,주부
오한근,M,경기 고양시 성사동,66,168,72.513333,1021569336,39400000,0.211966585,6,13333,석사,주부
전태홍,M,서울 금천구 독산1동,47,149,71.514167,1073319012,17600000,64.11914503,8,14167,석사,기타
이현주,F,경기 평택시 합정동,75,170,94.015,1083654388,3200000,0.445365795,6,8015000,학사,주부
백지연,M,서울 은평구 증산동,79,185,77.515833,1063803324,436800000,271.8641177,3,15833,석사,자영업
민영기,M,강원 춘천시 근화동,45,148,61.016667,1071785809,34900000,40.16674378,4,3016667,고졸,주부
김수복,F,전남 광양시 진상면,72,168,72.0175,1020887482,3500000,0.66530893,8,1017500,대재,주부
엄경아,F,서울 성북구 동소문동3가,61,169,75.018333,1035280988,16000000,0.656401989,4,8018333,학사,자영업
이병국,M,서울 서대문구 연희동,39,134,57.485801,1034898419,58700000,8.731305598,6,4485801,기타,자영업
박정숙,F,서울 중랑구 묵2동,52,161,67.519167,1085194562,18300000,2.396036249,4,8019167,고졸,주부
양재권,M,경북 구미시 송정동,66,175,82.52,1025154330,2200000,2.339270828,9,1020000,기타,전문직
김영복,M,경기 군포시 산본동,55,159,69.020833,1049849026,170200000,1178.768319,4,20833,기타,주부
김종찬,M,경남 김해시 내동,68,163,65.023333,1019712273,13600000,2.256362611,9,23333,석사,회사원
이애경,F,경기 고양시 풍동,73,172,71.524167,1063280411,4800000,0.314193742,9,24167,대재,자영업
박응진,M,경기 여주군 여주읍,66,167,80.170834,1051057484,24000000,49.24541659,5,7170834,대퇴,학생
김선호,M,서울 종로구 신영동,32,130,56.525,1091496695,693500000,1401.791706,1,7025000,학사,주부
이명만,M,부산 수영구 수영동,66,166,80.025833,1068316941,2600000,3.946395802,10,25833,전문학사,자영업
진경숙,F,경기 파주시 문산읍,63,164,67.526667,1044104287,50900000,176.8177665,3,8026667,고졸,자영업
권희원,F,제주 제주시 일도동,55,156,57.5275,1047221120,29100000,224.31722,8,27500,학사,강사
김인순,F,강원 춘천시 석사동,70,173,87.778938,1038369244,900800000,943.5612524,1,10278938,고졸,무직
민복홍,F,서울 강서구 염창동,58,168,72.528333,1080893975,54300000,420.3176766,4,1028333,학사,자영업
김재옥,F,경기 파주시 파주읍,64,165,76.53,1068541648,2900000,3.313808526,7,8030000,대재,주부
고광석,M,서울 강서구 공항동,58,153,71.279204,1033207770,5500000,0.015949875,4,3279204,고졸,자영업
강상욱,M,경기 파주시 조리읍,78,186,93.362831,1051580159,3900000,0.597509305,6,5862831,석사,주부
김정자,F,충남 금산군 금성면,66,169,73.530833,1017766196,87300000,441.2433662,3,1030833,중졸,주부
정상우,M,인천 부평구 부개3동,47,154,76.031667,1060093436,67600000,70.63231596,6,31667,석사,주부
이용돌,M,경기 고양시 마두동,58,158,71.5325,1034052976,1900000,3.890317614,9,1032500,전문학사,회사원
김정수,M,경기 파주시 법원읍,54,156,59.533333,1012968842,408000000,17.63851726,3,1033333,고졸,계열사직원
박동선,M,경기 고양시 일산4동,63,160,68.534167,1089926759,6000000,2.070090504,9,34167,석사,주부
천영호,M,충남 천안시 사직동,57,154,79.535833,1035389473,1000000,3.347425997,9,1035833,학사,자영업
권성오,M,서울 강북구 수유2동,74,177,77.036667,1066850369,27400000,712.4840731,6,1036667,학사,주부
이순희,F,서울 용산구 이태원동,57,160,70.0375,1071217495,27200000,0.938284444,4,8037500,고졸,학생
양연희,F,경기 고양시 풍동,64,163,77.038333,1074928645,14200000,23.48407796,6,1038333,석사,자영업
이정화,F,충남 서산시 동문동,54,164,82.539167,1073337280,11500000,150.4743212,5,8039167,학사,주부
송호석,M,경북 울릉군 울릉읍,62,166,70.04,1076943982,5200000,0.840182979,9,40000,학사,주부
홍기만,M,전북 전주시 서신동,46,144,64.040833,1048290162,64600000,31.61063527,7,40833,고졸,자영업
김충순,F,서울 도봉구 쌍문1동,50,153,78.041667,1031032332,36100000,2.201351996,3,8041667,공학박사,주부
안백만,M,서울 서초구 방배동,44,139,51.5425,1051359223,101000000,118.6469548,6,42500,전문학사,자영업
권순천,M,경기 파주시 교하읍,47,149,73.543333,1025869534,659500000,800.4767661,3,43333,학사,자영업
정나이,F,경기 김포시 대곶면,68,164,81.044167,1025610845,958700000,254.7667451,3,44167,기타,자영업
홍순희,F,경기 평택시 평택동,48,147,73.045,1099500192,15700000,1.755874406,4,8045000,고졸,무직
이해기,M,충남 공주시 금흥동,56,153,65.148714,1016253208,388500000,1.335024525,3,1148714,대재,회사원
문주옥,F,경기 포천시 소흘읍,31,126,71.325661,1085633378,16500000,1.034975459,3,11825661,학사,주부
김기순,F,충남 천안시 유량동,67,173,69.116495,1014627299,77800000,264.0107233,4,3616495,석사,무직
안미자,F,경기 시흥시 거모동,64,170,77.046667,1048409843,78400000,220.1381479,3,8046667,석사,학생
심현성,M,경기 고양시 화정1동,68,164,77.071052,1061836268,18000000,71.55236838,8,2071052,기타,무직
김상진,M,인천 동구 창영동,64,169,85.5475,1065064780,70900000,13.95622038,3,7047500,기타,주부
최영환,M,경북 영천시 야사동,46,147,55.548333,1031199863,121600000,27.39431618,4,48333,석사,자영업
김금란,F,서울 금천구 독산3동,51,153,64.55,1018117386,238200000,431.6945734,2,8050000,고졸,회사원
이희남,M,경기 고양시 장항2동,12,112,50.550833,1035040115,487100000,0.746556824,3,50833,대퇴,주부
김금순,F,인천 남동구 간석동,50,147,74.551667,1098519546,131000000,3471.026205,3,8051667,대재,자영업
정윤철,M,전북 정읍시 북면,64,174,76.0525,1049593549,15100000,16.96491969,4,7052500,석사,무직
김은숙,F,경북 군위군 군위읍,49,149,77.553333,1049807315,51500000,156.4645691,3,8053333,전문학사,무직
장길수,M,부산 사상구 모라3동,48,148,62.555,1024133990,35400000,1.525401753,3,3055000,초졸,주부
차이단,F,경기 시흥시 신천동,68,177,73.555833,1093784998,306200000,434.7214986,3,1055833,전문학사,회사원
서현순,F,인천 서구 가좌동,72,172,88.556667,1064245443,16100000,52.84666262,9,56667,고졸,자영업
이득춘,M,울산 울주군 범서읍,61,164,76.5575,1019570808,60300000,221.6813964,4,1057500,대재,무직
정규대,M,전북 고창군 대산면,65,166,64.058333,1040451300,27900000,345.763468,5,1058333,고졸,자영업
김순례,F,서울 은평구 진관동,59,167,73.760011,1099563624,96200000,123.9467106,3,11260011,석사,자영업
김종택,M,울산 남구 신정1동,61,156,81.059167,1035985591,24300000,844.3070081,3,7059167,대재,주부
한영숙,F,경기 광명시 철산2동,48,148,58.06,1086604033,425400000,1824.592105,3,60000,기타,학생
박석환,M,인천 계양구 계산3동,37,140,64.560833,1086155850,3200000,0.005580734,4,60833,고졸,주부
금우식,M,경기 성남시 상대원1동,61,165,83.561667,1043967946,932000000,939.5483313,2,1061667,중졸,주부
유영주,F,인천 남동구 만수4동,74,169,92.5625,1084025514,26700000,57.86761104,4,8062500,고졸,학생
박인분,F,서울 강서구 화곡8동,40,146,66.563333,1047392344,14500000,17.33332218,9,63333,대퇴,주부
지영선,M,서울 강서구 화곡7동,59,168,75.564167,1053431192,273400000,35.33909177,2,3064167,석사,주부
박일영,M,서울 강서구 화곡4동,50,154,69.36301,1022475035,19700000,1.848190912,5,1863010,석사,자영업
인선환,M,경기 안성시 금석동,64,173,65.565,1042998030,13200000,0.458079465,7,65000,공학박사,무직
박후식,M,서울 금천구 시흥5동,12,108,44.565833,1024789784,67200000,0.216868681,4,65833,대퇴,강사
박춘매,F,서울 강동구 성내2동,61,165,78.066667,1066929169,40400000,2.054485985,4,1066667,대재,주부
주순자,F,경북 경산시 중산동,64,173,67.5675,1098636046,1100000,0.041894712,7,1067500,전문학사,자영업
이준수,M,경기 고양시 주엽1동,47,148,69.486506,1086458428,1300000,0.206899197,8,2986506,학사,회사원
박찬희,F,경기 군포시 당동,34,142,73.226401,1098385104,51600000,84.48601069,3,11226401,고졸,무직
신순예,F,서울 양천구 신월4동,71,169,84.068333,1082032548,22800000,1.564518692,4,8068333,석사,자영업
하정태,M,부산 연제구 거제1동,77,183,89.852125,1073959225,2300000,0.44931537,9,3852125,대퇴,자영업
이정숙,F,경남 마산시 석전1동,55,163,86.069167,1054527292,348900000,819.0813799,2,8069167,고졸,주부
김순조,M,서울 송파구 송파2동,61,166,63.07,1042657079,5800000,8.17758327,9,70000,학사,주부
박순자,F,전남 광양시 금호동,67,162,73.570833,1012909699,4500000,0.220557995,9,70833,학사,주부
이한도,M,서울 강서구 내발산동,43,139,69.571667,1063326350,31000000,305.572258,5,1071667,석사,자영업
황기영,M,경기 시흥시 은행동,25,128,57.0725,1069231796,332300000,38.67675451,3,72500,학사,주부
