이름,성별,연령,휴대폰번호,신용대출한도 ,신용등급
이성교,M,63,1064990304,4400000,9
김영섭,M,72,1067075568,60000000,3
고진호,M,77,1075011260,15500000,7
권오룡,M,68,1044383397,17000000,6
김명주,F,70,1042930845,34600000,4
강행원,F,66,1038673451,511100000,2
모상윤,M,53,1085148413,10200000,7
이길순,F,60,1099947942,110900000,6
이금선,F,58,1082695789,854000000,3
김복순,F,67,1025335516,11900000,8
이경화,M,60,1066748848,4900000,9
이성도,M,58,1078932374,3500000,7
문정현,F,45,1085379065,2700000,7
손명자,F,21,1051065618,25100000,4
김정수,F,68,1043131772,20400000,4
탁정숙,F,79,1021891692,9400000,5
하현규,M,44,1076755525,92200000,3
박미순,F,58,1034643131,8400000,7
한상용,M,69,1015388967,66500000,4
윤병현,M,53,1013273748,57000000,5
김종원,M,58,1025013890,68400000,3
이종목,F,68,1042260927,70600000,3
조연귀,M,69,1056895725,298600000,3
양은순,F,46,1086664461,31200000,4
김연옥,M,63,1023619015,191600000,4
최순달,M,57,1055499810,26700000,4
박명종,M,29,1016561777,15900000,6
최옥재,F,43,1038311076,23300000,4
송금례,F,42,1020763750,15300000,6
문영수,F,55,1094093899,41100000,4
김명희,F,37,1058087241,14300000,8
김선옥,F,40,1024312787,162600000,3
신현대,M,76,1088983969,4400000,9
윤상규,M,60,1086790448,14600000,6
공재희,F,66,1021706491,204500000,3
정순애,F,38,1081311264,5900000,6
김연환,F,42,1030014915,312300000,2
고용하,M,62,1064409415,57500000,4
김효정,F,48,1026875872,607300000,1
박소현,F,47,1037462671,18800000,7
안미숙,F,41,1024825544,644700000,1
이덕용,M,53,1074646574,7600000,6
임경숙,F,54,1075583994,11400000,5
전대분,F,33,1035215547,2500000,9
노수경,M,37,1037647808,17100000,3
이시우,M,42,1061411831,882900000,2
배두양,M,39,1063408907,21100000,8
강교구,M,69,1066779407,696500000,2
김홍은,F,49,1039963977,781300000,1
홍효선,M,76,1054168412,9200000,7
김영복,M,69,1042130926,56900000,7
이광웅,M,60,1073763007,26700000,5
김복희,F,76,1014359300,28500000,4
안엽순,F,55,1030241461,1600000,7
홍명재,M,69,1086614717,690100000,3
박종화,M,67,1052074400,10900000,9
김종찬,F,71,1077939273,28200000,4
백태록,M,59,1040742691,10500000,5
윤선미,F,40,1027766440,750000000,2
이경서,M,62,1063339545,74900000,6
주상복,M,79,1073709328,792100000,3
박길자,F,86,1031999909,15300000,4
김희구,M,48,1087755715,606000000,3
김은화,F,61,1063266623,24700000,4
황경량,M,35,1060007033,375300000,3
김영희,F,17,1035416057,3600000,9
이광우,M,71,1021007989,17100000,8
