,IDX,name,address,postcode,company,job,phone_number,email,user_name,ip_address,credit_card_number,date,total_int1,total_int2,total_int3
0,0,문**,경기도,*****,*****,패스트푸드원,062-282-****,*****@ani.com,gimseongho,192.168.122.214,501826**********,2001-04-07,958436,337,2571
1,1,고**,서울특별시,*****,*****,판사 및 검사,017-782-****,*****@nate.com,sanghun66,172.18.152.86,601150**********,2008-05-21,927058,208,1762
2,2,최**,울산광역시,*****,*****,기타 식품가공관련 기계조작원,041-485-****,*****@nate.com,angyeongsug,172.18.101.76,676145**********,1985-04-16,613792,611,2350
3,3,윤**,부산광역시,*****,*****,안마사,041-438-****,*****@gmail.com,minseogim,192.168.222.205,356319**********,1988-08-01,281300,375,7822
4,4,우**,강원도,*****,*****,보험 설계사 및 간접투자증권 판매인,061-163-****,*****@gimgimna.org,ihyeonu,172.31.99.31,303609**********,2016-10-03,66043,49,9396
5,5,이**,경기도,*****,*****,기타 경호 및 보안 관련 종사원,011-309-****,*****@naver.com,hyeonjunhan,172.25.29.111,407517**********,1979-10-12,524219,556,6498
6,6,김**,부산광역시,*****,*****,의복/가죽 및 모피 수선원,019-411-****,*****@jusighoesa.net,wha,10.236.116.87,650359**********,2007-09-11,324859,392,1847
7,7,백**,제주특별자치도,*****,*****,상품 대여원,031-398-****,*****@hanmail.net,seonghoan,172.17.180.160,410203**********,1975-03-29,534443,340,9270
8,8,우**,울산광역시,*****,*****,기타 사무원,010-1229-****,*****@gmail.com,coejeongsug,172.26.88.58,300082**********,2006-11-18,656818,94,3457
9,9,최**,강원도,*****,*****,영상/녹화 및 편집 기사,054-081-****,*****@daum.net,sunjagang,192.168.111.8,180094**********,2004-02-16,85460,643,4189
10,10,이**,충청남도,*****,*****,보건위생 및 환경 검사원,041-320-****,*****@hanmail.net,junseo32,10.137.68.157,659613**********,1980-03-25,428126,128,9515
11,11,김**,대전광역시,*****,*****,도금 및 금속분무기 조작원,054-438-****,*****@hotmail.com,yeonghogim,172.20.118.26,542502**********,1980-05-25,188588,279,8351
12,12,김**,제주특별자치도,*****,*****,보육 교사,043-978-****,*****@hanmail.net,junyeong06,172.17.213.248,213141**********,2009-01-22,864387,132,5650
13,13,이**,부산광역시,*****,*****,승강기 설치 및 정비원,018-264-****,*****@yuhanhoesa.com,nsim,172.28.174.168,565015**********,2017-07-12,121254,905,8571
14,14,장**,울산광역시,*****,*****,웹 개발자,063-010-****,*****@ju.net,idonghyeon,10.73.55.175,352377**********,1976-01-09,764177,382,3804
15,15,김**,서울특별시,*****,*****,가전제품 설치 및 수리원,016-849-****,*****@daum.net,sbag,172.30.182.61,381784**********,1997-10-08,412329,159,4334
16,16,김**,세종특별자치시,*****,*****,법무사 및 집행관,063-120-****,*****@jangigim.com,sugja60,10.193.191.150,453367**********,1987-10-18,276225,755,2712
17,17,박**,전라북도,*****,*****,모피 및 가죽의복 제조원,042-286-****,*****@hotmail.com,eunyeong67,10.233.248.57,213146**********,2007-09-18,867841,859,4702
18,18,고**,충청남도,*****,*****,경비원,062-009-****,*****@dreamwiz.com,bagsangho,192.168.182.152,432087**********,2018-09-27,262470,83,1719
19,19,김**,경상남도,*****,*****,내선전공,010-4540-****,*****@gmail.com,ijinu,10.181.233.219,447487**********,2018-01-22,533782,543,5839
20,20,한**,경상북도,*****,*****,승강기 설치 및 정비원,070-8417-****,*****@gimjogim.com,jongsu31,172.23.68.33,405365**********,2013-05-15,166470,568,6424
21,21,나**,대구광역시,*****,*****,하역 및 적재 단순 종사원,019-705-****,*****@yu.net,junyeongcoe,172.27.135.244,451071**********,2012-11-08,615464,350,2301
22,22,황**,경상남도,*****,*****,재봉사,032-878-****,*****@gimi.kr,ti,192.168.94.2,180040**********,1970-01-13,198829,624,3499
23,23,김**,경상남도,*****,*****,응용 소프트웨어 개발자,041-877-****,*****@live.com,eunseocoe,172.16.125.6,659206**********,2015-07-08,730727,354,6534
24,24,김**,강원도,*****,*****,발전 및 배전장치 조작원,070-4331-****,*****@hotmail.com,ijuweon,10.38.244.144,270418**********,2007-06-26,275142,616,2145
25,25,허**,부산광역시,*****,*****,기타 기술영업 및 중개 관련 종사자,070-6228-****,*****@nate.com,hi,10.31.84.49,449978**********,2005-09-26,739767,691,6567
26,26,박**,충청북도,*****,*****,과실 및 채소 관련 기계조작원,010-9475-****,*****@hanmail.net,yeonggil37,192.168.72.186,227520**********,1986-09-24,358375,822,2519
27,27,권**,세종특별자치시,*****,*****,생산 및 품질 관리 사무원,011-980-****,*****@hanmail.net,jihye43,172.22.194.229,378978**********,2008-12-04,395677,11,1746
28,28,오**,강원도,*****,*****,소방관,061-982-****,*****@hotmail.com,eungyeong17,172.22.51.190,353319**********,1995-02-22,755731,429,831
29,29,박**,전라남도,*****,*****,경찰관,061-649-****,*****@gimgim.kr,myeongsug90,192.168.216.32,460951**********,2006-01-27,319022,127,4632
30,30,권**,광주광역시,*****,*****,기타 제조관련 기계 조작원,053-980-****,*****@gimgimgim.kr,jeongsug84,172.28.204.79,676197**********,2004-08-18,446179,406,6801
31,31,김**,전라북도,*****,*****,홍보 도우미 및 판촉원,019-837-****,*****@gimcoegim.kr,gimyejin,10.117.184.161,473688**********,1982-05-08,399699,127,3985
32,32,김**,대전광역시,*****,*****,바닥재 시공원,063-701-****,*****@hotmail.com,iyeongsu,172.19.144.160,450355**********,1991-06-20,739209,688,2914
33,33,이**,충청북도,*****,*****,간호사,016-001-****,*****@daum.net,gwangsu92,172.19.2.175,365210**********,1998-01-04,604175,313,2271
34,34,박**,충청남도,*****,*****,기타 스포츠 및 레크레이션 관련 전문가,041-781-****,*****@yu.kr,yeeun09,192.168.246.65,358082**********,2000-09-16,523469,99,3781
35,35,박**,경상남도,*****,*****,금형원,051-606-****,*****@imunyun.com,ajo,172.19.173.107,300382**********,1981-09-09,688632,408,2610
36,36,노**,대전광역시,*****,*****,수금원,031-000-****,*****@yuhanhoesa.kr,jeongsun24,10.35.33.126,365085**********,1990-02-15,894274,256,4934
